"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"138","GunControlNow saveourchildren",FALSE,0,NA,2017-10-22 21:47:02,FALSE,NA,"922217758531768320",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JJ_Bater",49,TRUE,FALSE,NA,NA
"139","gunsense GunControlNow Guncontrol NRA a Guns Gun",FALSE,0,NA,2017-10-22 21:46:34,FALSE,NA,"922217641183514624",NA,"<a href=""http://www.spuz.com"" rel=""nofollow"">NJGOTAM</a>","NJMike319",2,TRUE,FALSE,NA,NA
"140","gunsense GunControlNow Guncontrol NRA a Guns Gun",FALSE,0,NA,2017-10-22 21:45:53,FALSE,NA,"922217468545851392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dstroyr_U2b",2,TRUE,FALSE,NA,NA
"141","GunControlNow saveourchildren",FALSE,0,NA,2017-10-22 21:45:49,FALSE,NA,"922217451818860544",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","sarojhg",49,TRUE,FALSE,NA,NA
"142","GunControlNow saveourchildren",FALSE,0,NA,2017-10-22 21:45:02,FALSE,NA,"922217255722663937",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","EssenbergLynn",49,TRUE,FALSE,NA,NA
"143","GunControlNow saveourchildren",FALSE,0,NA,2017-10-22 21:44:57,FALSE,NA,"922217235900350464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SetthemF",49,TRUE,FALSE,NA,NA
"144","GunControlNow saveourchildren",FALSE,0,NA,2017-10-22 21:44:55,FALSE,NA,"922217227503497216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","leeshutterbug",49,TRUE,FALSE,NA,NA
"145","GunControlNow saveourchildren",FALSE,0,NA,2017-10-22 21:44:10,FALSE,NA,"922217036595580929",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KATHLEE20273276",49,TRUE,FALSE,NA,NA
"146","GunControlNow saveourchildren",FALSE,0,NA,2017-10-22 21:44:08,FALSE,NA,"922217029339435009",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Matthew46420563",49,TRUE,FALSE,NA,NA
"147","GunControlNow saveourchildren",FALSE,0,NA,2017-10-22 21:43:54,FALSE,NA,"922216970690236418",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SusanHenshaw50",49,TRUE,FALSE,NA,NA
"148","GunControlNow saveourchildren",FALSE,0,NA,2017-10-22 21:43:53,FALSE,NA,"922216967964184577",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","johnboor",49,TRUE,FALSE,NA,NA
"149","GunControlNow saveourchildren",FALSE,0,NA,2017-10-22 21:43:18,FALSE,NA,"922216818789335040",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","carlettej1",49,TRUE,FALSE,NA,NA
"150","GunControlNow saveourchildren",FALSE,84,NA,2017-10-22 21:43:04,FALSE,NA,"922216763340869634",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","StopTrump2020",49,FALSE,FALSE,NA,NA
"151","Take away gun rights and I bet you someone will make a flame thrower out of a inhaler GunControlNow guncontrol",FALSE,1,NA,2017-10-22 21:41:20,TRUE,NA,"922216325690413063",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","libsgetbutthurt",0,FALSE,FALSE,NA,NA
"152","Words fail me after watching this Thank you to our brave officers amp FirstResponders Keep the focus on",FALSE,0,NA,2017-10-22 21:39:48,TRUE,NA,"922215940271480832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CycleluvSK",0,FALSE,FALSE,NA,NA
"153","This sums it up libs Now please shut up and lets focus on the killers GunControlNow LasVegasShooter",FALSE,0,NA,2017-10-22 21:30:10,FALSE,NA,"922213514235797505",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KatWalker_",312,TRUE,FALSE,NA,NA
"154","gunsense GunControlNow Guncontrol NRA a Guns Gun",FALSE,3,NA,2017-10-22 21:28:37,FALSE,NA,"922213125369233408",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dilly_bob",2,FALSE,FALSE,NA,NA
"155","new report guncontrolnow",FALSE,0,NA,2017-10-22 21:26:35,FALSE,NA,"922212615119671297",NA,"<a href=""http://twibble.io"" rel=""nofollow"">Twibble.io</a>","StruggleNewsBot",0,FALSE,FALSE,NA,NA
"156","Everyone who saw video knows Couldnt stand questions your st thought was GotheGun  You R the very reason major",FALSE,1,NA,2017-10-22 21:26:31,TRUE,NA,"922212594588450816",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Joe_Swheat",0,FALSE,FALSE,NA,NA
"157","report Devon  Bam Bam  Caffie guncontrolnow",FALSE,0,NA,2017-10-22 21:21:35,FALSE,NA,"922211356732022786",NA,"<a href=""http://twibble.io"" rel=""nofollow"">Twibble.io</a>","StruggleNewsBot",0,FALSE,FALSE,NA,NA
"158","Indivisible RejectTheNRA GunControlNow LasVegasShooting HR              YOU CAN CALL NO MATTER WHERE YOU LIVE This is a",FALSE,0,NA,2017-10-22 21:20:43,FALSE,NA,"922211138426716160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ClovGraham",61,TRUE,FALSE,NA,NA
"159","Dr D check out irony of this LCS Warship vs Both and Gabby wan",FALSE,0,"DrDmitryShulgin",2017-10-22 21:18:40,TRUE,"874736466022334473","922210622846242817","2550937602","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hlcokayne",0,FALSE,FALSE,NA,NA
"160","Indivisible RejectTheNRA GunControlNow LasVegasShooting HR              YOU CAN CALL NO MATTER WHERE YOU LIVE This is a",FALSE,0,NA,2017-10-22 21:14:20,FALSE,NA,"922209528531349505",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mysteri00013322",61,TRUE,FALSE,NA,NA
"161","Amazing documentary The US seriously needs to look at its gun problemPERIOD DarkStates GunControlNow",FALSE,0,NA,2017-10-22 21:13:42,FALSE,NA,"922209370993283073",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","RuthHarries5",0,FALSE,FALSE,NA,NA
"162","Another Liberal Idiot who needs to be locked up MAGA NO GunControlNow We Need LiberalControl",FALSE,0,NA,2017-10-22 21:12:47,FALSE,NA,"922209139211649024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SharronTrump",0,FALSE,FALSE,NA,NA
"163","The only GunControlNow in the US should be in Hollywood movies They preach Do as I say not as I do",FALSE,0,NA,2017-10-22 21:12:45,FALSE,NA,"922209130923937793",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sicg824",0,FALSE,FALSE,NA,NA
"164","report Simone D McKay guncontrolnow",FALSE,0,NA,2017-10-22 21:11:35,FALSE,NA,"922208838941597698",NA,"<a href=""http://twibble.io"" rel=""nofollow"">Twibble.io</a>","StruggleNewsBot",0,FALSE,FALSE,NA,NA
"165","GunControlNow the families who suffered losses know every moment without their loves ones is an eternity Why is there no w",FALSE,0,NA,2017-10-22 21:09:59,FALSE,NA,"922208433587269634",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","maryhirose",47,TRUE,FALSE,NA,NA
"166","Indivisible RejectTheNRA GunControlNow LasVegasShooting HR              YOU CAN CALL NO MATTER WHERE YOU LIVE This is a",FALSE,0,NA,2017-10-22 21:07:13,FALSE,NA,"922207738658041858",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Debbierj79",61,TRUE,FALSE,NA,NA
"167","GunControlNow the families who suffered losses know every moment without their loves ones is an eternity Why is there no w",FALSE,0,NA,2017-10-22 21:06:29,FALSE,NA,"922207554645741568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","juniormint73",47,TRUE,FALSE,NA,NA
"168","With everyone walking around armed it must be so easy to end up getting killed by simply being in the wrong place",FALSE,0,NA,2017-10-22 21:05:25,TRUE,NA,"922207287816675328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ed7471",0,FALSE,FALSE,NA,NA
"169","Indivisible RejectTheNRA GunControlNow LasVegasShooting HR              YOU CAN CALL NO MATTER WHERE YOU LIVE This is a",FALSE,0,NA,2017-10-22 21:03:00,FALSE,NA,"922206678942023680",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","IndivisibleVent",61,TRUE,FALSE,NA,NA
"170","I totally agree TheResistance UniteBlue GeeksResist FBR FBRDoug ChildrenFirst climatechange",FALSE,6,NA,2017-10-22 20:59:29,TRUE,NA,"922205793901977600",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","madg_lulu22",2,FALSE,FALSE,NA,NA
"171","GunControlNow the families who suffered losses know every moment without their loves ones is an eternity Why is there no w",FALSE,0,NA,2017-10-22 20:56:39,FALSE,NA,"922205080220291072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RonBorsh",47,TRUE,FALSE,NA,NA
"172","GunControlNow the families who suffered losses know every moment without their loves ones is an eternity Why is there no w",FALSE,0,NA,2017-10-22 20:54:04,FALSE,NA,"922204428865822720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dbarabin",47,TRUE,FALSE,NA,NA
