"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"22","Some countries warn their citizens of travel dangers in US hurricanes violence shootings",FALSE,1,NA,2017-10-22 08:39:24,FALSE,NA,"922019543274233856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ulises_jo",0,FALSE,FALSE,NA,NA
"23","Mass shootings point to a greater role for the public in dealing with casualties report LasVegas",FALSE,0,NA,2017-10-22 07:31:56,TRUE,NA,"922002567911141376",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MedicalBriefZA",0,FALSE,FALSE,NA,NA
"24","yours sweet sweet dreams KissampHugs MilenaD Shootings metart Pink",FALSE,0,NA,2017-10-22 04:53:53,FALSE,NA,"921962793087176705",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","roneyhunk",203,TRUE,FALSE,NA,NA
"25","grandpa wants you to disagree ruthless shootings you must get that from your fathers side of the family",FALSE,0,NA,2017-10-22 02:41:10,FALSE,NA,"921929391969656832",NA,"<a href=""http://www.example.com"" rel=""nofollow"">Granniebot</a>","granniebot",0,FALSE,FALSE,NA,NA
"26","jarrive               Une semaine BFF shootings ET liveshow duo le sur                 love autumn coo",FALSE,0,NA,2017-10-22 01:03:47,FALSE,NA,"921904885238517760",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ArishaaCamGirl",4,TRUE,FALSE,NA,NA
"27","A look at the LGBTQ community and nightclubs a year after Pulse shootings publicsafety",FALSE,3,NA,2017-10-22 01:03:30,FALSE,NA,"921904815998894080",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","MyMetMedia",0,FALSE,FALSE,NA,NA
"28","A Tactical Analysis Of The Las Vegas Mass Shooting Incident analysis shootings",FALSE,0,NA,2017-10-21 22:59:25,FALSE,NA,"921873586188668929",NA,"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>","PrepperWebsite",0,FALSE,FALSE,NA,NA
"29","killings in Florida neighborhood connected police say serialKiller shootings tampa",FALSE,0,NA,2017-10-21 22:14:02,FALSE,NA,"921862168336912385",NA,"<a href=""https://sdgherh.asd"" rel=""nofollow"">App #gtrhg45</a>","EmmieAdams16",0,FALSE,FALSE,NA,NA
"30","The most logical Las Vegas shootings theory of all and why Oklahoma could be next on October   November",FALSE,0,NA,2017-10-21 20:50:04,FALSE,NA,"921841033599705089",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","csayle",0,FALSE,FALSE,NA,NA
"31","The most logical Las Vegas shootings theory of all and why Oklahoma could be next on October   November",FALSE,0,NA,2017-10-21 19:35:17,FALSE,NA,"921822213669613568",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","csayle",0,FALSE,FALSE,NA,NA
"32","jarrive               Une semaine BFF shootings ET liveshow duo le sur                 love autumn coo",FALSE,0,NA,2017-10-21 18:00:49,FALSE,NA,"921798443101839362",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dref7927",4,TRUE,FALSE,NA,NA
"33","Trumpers say a ban on guns wouldnt stop any of the past mass shootings So what EXACTLY would a ban on Muslims stop G",FALSE,0,NA,2017-10-21 17:39:09,FALSE,NA,"921792990544318465",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","analysisnytimes",5,TRUE,FALSE,NA,NA
"34","Trumpers say a ban on guns wouldnt stop any of the past mass shootings So what EXACTLY would a ban on Muslims stop G",FALSE,0,NA,2017-10-21 17:10:32,FALSE,NA,"921785788458663937",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","framtonframton",5,TRUE,FALSE,NA,NA
"35","Mass Shootings Trauma and Coping gtgt If PTSD does manifest itself there are a number of",FALSE,0,NA,2017-10-21 17:09:55,FALSE,NA,"921785632636235778",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HVPRmedia",5,TRUE,FALSE,NA,NA
"36","Trumpers say a ban on guns wouldnt stop any of the past mass shootings So what EXACTLY would a ban on Muslims stop G",FALSE,0,NA,2017-10-21 16:28:13,FALSE,NA,"921775136763760640",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ColoLiberal2",5,TRUE,FALSE,NA,NA
"37","Trumpers say a ban on guns wouldnt stop any of the past mass shootings So what EXACTLY would a ban on Muslims stop G",FALSE,0,NA,2017-10-21 16:26:53,FALSE,NA,"921774805304664065",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Taxofficesocial",5,TRUE,FALSE,NA,NA
"38","Trumpers say a ban on guns wouldnt stop any of the past mass shootings So what EXACTLY would a ban on Muslims stop G",FALSE,0,NA,2017-10-21 16:24:52,FALSE,NA,"921774294438465536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mertennikell",5,TRUE,FALSE,NA,NA
"39","jarrive               Une semaine BFF shootings ET liveshow duo le sur                 love autumn coo",FALSE,0,NA,2017-10-21 16:24:05,FALSE,NA,"921774099180982272",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","UfancyMe_",4,TRUE,FALSE,NA,NA
"40","Trumpers say a ban on guns wouldnt stop any of the past mass shootings So what EXACTLY would a ban on Muslims",FALSE,5,NA,2017-10-21 16:23:59,TRUE,NA,"921774071410495493",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","newnewspage",5,FALSE,FALSE,NA,NA
"41","Two family members of SchoolShooting victims use their experiences to call for change security shootings",FALSE,0,NA,2017-10-21 15:59:48,TRUE,NA,"921767989409734659",NA,"<a href=""http://login.propostingplatform.com"" rel=""nofollow"">ProPP</a>","SchoolLockdown",0,FALSE,FALSE,NA,NA
"42","Nothing is senseless Everything makes sense to someone Some ppl just have idiotically stupid sense and show it off INTJ Shootings",FALSE,1,NA,2017-10-21 14:27:31,FALSE,NA,"921744762507612161",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Glorious_INTJ",0,FALSE,FALSE,NA,NA
"43","jarrive               Une semaine BFF shootings ET liveshow duo le sur                 love autumn coo",FALSE,0,NA,2017-10-21 11:15:19,FALSE,NA,"921696392929832960",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Annaxx220",4,TRUE,FALSE,NA,NA
"44","jarrive               Une semaine BFF shootings ET liveshow duo le sur                 love autumn",FALSE,15,NA,2017-10-21 10:48:51,TRUE,NA,"921689734073733120",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","IsmeneCamgirl",4,FALSE,FALSE,NA,NA
"45","SanBernardino Shootings inContext Quran RT CatholicPriest Islam jihad",FALSE,1,NA,2017-10-21 10:43:27,FALSE,NA,"921688375450533888",NA,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>","testisfidelis",1,FALSE,FALSE,NA,NA
"46","Some Backstage moments Having fun with              sexy havingfun interesting bonus Brunette shootings jasminej",FALSE,0,NA,2017-10-21 08:01:19,FALSE,NA,"921647571961090048",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","klzj69",14,TRUE,FALSE,NA,NA
"47","preferredlife Historys st book of its kind Is love causing more problems STD preg sex slavery adultery or hatred stabbings shootings",FALSE,0,NA,2017-10-21 05:20:07,FALSE,NA,"921607007404281861",NA,"<a href=""https://www.tweetsuite.com/"" rel=""nofollow"">Tweet Suite</a>","gWoodi",0,FALSE,FALSE,NA,NA
"48","Las Vegas Sheriffs Daughter Shares Experience Of Watching Dad Lead Investig RT  Fav   shootings",FALSE,0,NA,2017-10-21 05:04:23,FALSE,NA,"921603047113023489",NA,"<a href=""http://knowyourleak.com"" rel=""nofollow"">Know Your Leak App</a>","KnowYourLeakGuy",0,FALSE,FALSE,NA,NA
"49","Slain Lawman Honored With Vegas Procession RT  Fav   shootings commentary lawman ap united",FALSE,0,NA,2017-10-21 03:17:49,FALSE,NA,"921576229483843584",NA,"<a href=""http://www.knowyourleak.com/"" rel=""nofollow"">KnowYourLeaker</a>","KnowYourLeaker",0,FALSE,FALSE,NA,NA
"50","Toronto TOpolo onpoli BLMTO ViolentCrime Shootings Murder",FALSE,0,"bconnolly00",2017-10-21 02:01:13,FALSE,"921532803027820546","921556949564522496","538475365","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","waynemartha4",0,FALSE,FALSE,NA,NA
"51","And heres the DIRECT RESPONSE TheResistance AltLeft antifa BlackLivesMatter democrats yelling F U",FALSE,0,"rrjr724",2017-10-21 00:55:37,TRUE,"921218106923421697","921540444307124224","976561992","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Kos_Cars",0,FALSE,FALSE,NA,NA
"52","Toronto TOpolo onpoli BLMTO ViolentCrime Shootings Murder",FALSE,0,NA,2017-10-21 00:25:16,FALSE,NA,"921532803027820546",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bconnolly00",0,FALSE,FALSE,NA,NA
"53","Babypass mehrere Shootings in Oberhausen Shootings nach der Geburt",FALSE,0,NA,2017-10-20 22:00:06,FALSE,NA,"921496271973699584",NA,"<a href=""https://socialorga.pontimania.de"" rel=""nofollow"">postman4wobus</a>","Ai6773",0,FALSE,FALSE,NA,NA
"54","Teenage boy denied bail in shooting of ATF informant during gun sting crime shooting shootings",FALSE,0,NA,2017-10-20 20:08:18,FALSE,NA,"921468136301432832",NA,"<a href=""http://firenewsfeed.com/"" rel=""nofollow"">App #fh298gh</a>","qudubyha",0,FALSE,FALSE,NA,NA
"55","dead wounded in city shootings including yearold boy Chicago",FALSE,0,NA,2017-10-20 20:07:33,FALSE,NA,"921467947410968576",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NewsySusie",0,FALSE,FALSE,NA,NA
"56","blackandwhite bw shootings",FALSE,0,NA,2017-10-20 17:07:10,FALSE,NA,"921422551703805952",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","krivov_dmitriy",3,TRUE,FALSE,NA,NA
"57","blackandwhite bw shootings",FALSE,0,NA,2017-10-20 15:53:53,FALSE,NA,"921404108610863104",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","72denis72",3,TRUE,FALSE,NA,NA
"58","blackandwhite bw shootings",FALSE,43,NA,2017-10-20 15:48:05,FALSE,NA,"921402650117189632",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","VeraBrezhneva",3,FALSE,FALSE,NA,NA
"59","Connect the Dots The Hidden Connection Between Domestic Abuse and Mass Shootings",FALSE,0,NA,2017-10-20 15:42:30,FALSE,NA,"921401244287160320",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","NEWS_GLOBAL_CO",0,FALSE,FALSE,NA,NA
"60","aleciafox weekend shootings italy sun Italy",FALSE,0,NA,2017-10-20 13:24:34,FALSE,NA,"921366533191987200",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HotAdultModels",1,TRUE,FALSE,NA,NA
"61","The number of shootings is increasing every year The only true defense is to reduce lawenforcement response time",FALSE,0,NA,2017-10-20 13:07:07,FALSE,NA,"921362141105524737",NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","Guard911",0,FALSE,FALSE,NA,NA
"62","Suspect in Seperate Shootings in Maryland Delaware Hel Topstories",FALSE,0,NA,2017-10-20 06:53:24,FALSE,NA,"921268094106062848",NA,"<a href=""http://www.press-today.com"" rel=""nofollow"">press-today</a>","Shopall3",0,FALSE,FALSE,NA,NA
"63","EVER SINCE Trump BECAME PREZ TRUMPISADISASTER HURRICANES SHOOTINGS PROTESTS violence Division WHAT SHOULD BE DONE",FALSE,0,NA,2017-10-20 05:15:31,FALSE,NA,"921243462053199872",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Ramon36069",2,TRUE,FALSE,NA,NA
"64","Homegrown terrorism big worry for USA Gun Shootings",FALSE,0,NA,2017-10-20 05:10:21,FALSE,NA,"921242160942350336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Indie8897",0,FALSE,FALSE,NA,NA
"65","preferredlife Historys st book of its kind Is love causing more problems STD preg sex slavery adultery or hatred stabbings shootings",FALSE,0,NA,2017-10-20 04:52:10,FALSE,NA,"921237583249600512",NA,"<a href=""https://www.tweetsuite.com/"" rel=""nofollow"">Tweet Suite</a>","FutureWorldCen",0,FALSE,FALSE,NA,NA
"66","preferredlife Historys st book of its kind Is love causing more problems STD preg sex slavery adultery or hatred stabbings shootings",FALSE,0,NA,2017-10-20 01:37:03,FALSE,NA,"921188480516087809",NA,"<a href=""https://www.tweetsuite.com/"" rel=""nofollow"">Tweet Suite</a>","gWoodi",0,FALSE,FALSE,NA,NA
"67","BLOG Healing for Las Vegas Parts shootings healing energy Reiki Shaman help",FALSE,0,NA,2017-10-20 00:45:10,TRUE,NA,"921175423563726848",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","KathyGloverScot",0,FALSE,FALSE,NA,NA
"68","Bail set at M for suspect in Maryland Delaware shootings",FALSE,0,NA,2017-10-19 19:58:33,FALSE,NA,"921103297074880516",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NewsySusie",0,FALSE,FALSE,NA,NA
"69","The latest The Shining Stars Thanks to delaware shootings",FALSE,0,NA,2017-10-19 19:16:03,FALSE,NA,"921092599053680640",NA,"<a href=""http://paper.li"" rel=""nofollow"">Paper.li</a>","St_Clinton",0,FALSE,FALSE,NA,NA
"70","Suspect in Separate Shootings in Maryland Delaware Hel Topstories",FALSE,0,NA,2017-10-19 19:03:30,FALSE,NA,"921089442101768193",NA,"<a href=""http://www.press-today.com"" rel=""nofollow"">press-today</a>","Shopall3",0,FALSE,FALSE,NA,NA
"71","DROUGHT FAMINE WAR HAS GOD LOST CONTROL   disease tornadoes earthquakes disasters shootings",FALSE,0,NA,2017-10-19 19:02:37,FALSE,NA,"921089217933008901",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","ThingsAboutGod",0,FALSE,FALSE,NA,NA
